,w,vowels,unique,usage,avgGreenCommon,avgYellowCommon,avgGreen,avgYellow,entropy,pred_alpha,pred_beta,alpha,beta,avgBoth,steven_entropy
0,manly,1,5,3.66,0.125,1.1500000000000001,0.46343581726593713,0.7434427653291645,0.5210984313749747,-0.1993524752481574,-0.043594657847386996,6.233175862815316,5.042637559384819,1.2068785825951016,5.534967382288168
1,molar,2,5,2.99,0.125,1.7000000000000004,0.40594059405940597,1.088240402987667,0.4710327278118489,-0.2567524913242583,-0.03818617518341211,6.039503945504429,5.450069319524092,1.494180997047073,6.154818109052104
2,havoc,2,5,3.5,0.15,1.075,0.27792252909501475,0.8266458224769846,0.3276606523903237,-0.185518323875573,-0.026143722847008794,6.740693084270569,5.450819550940323,1.1045683515719993,4.735546234944391
3,impel,2,5,2.36,0.275,1.3499999999999996,0.3029355567135661,1.084071565051242,0.3313612019872327,-0.23827126115523345,-0.028496657903239565,6.504111468272847,5.868761654863798,1.3870071217648081,5.03906622337034
4,condo,2,4,3.63,0.175,0.4000000000000001,0.36981066527705403,0.5586242834809797,0.4301006427209657,-0.1359264002681478,-0.034787491213301,5.771164386530622,4.551589327908185,0.9284349487580337,4.205853420374098
5,judge,2,5,4.95,0.6750000000000002,0.8500000000000003,0.27027965954490185,0.7800937988535696,0.33459443888515134,-0.22570118082849847,-0.025424770468716062,4.3680629885181235,2.0552734244134316,1.0503734583984714,4.443614002381008
6,extra,2,5,4.98,0.15,2.6750000000000007,0.16154247003647734,1.4002084418968213,0.22694896082673527,-0.31838575535987806,-0.015196038904823978,5.4321359379336585,4.881847478418355,1.5617509119332986,6.768635472445445
7,poise,3,5,3.04,1.075,0.9500000000000004,0.46291471252388394,1.3616466909848879,0.5215394124752757,-0.3459639265536457,-0.043545638367048854,4.626178297760065,5.696283163214024,1.8245614035087718,5.718951906131994
8,aorta,3,4,2.92,0.5750000000000001,1.475,0.4007295466388744,0.9468473163105784,0.46196337664589543,-0.2786809274262264,-0.03769598038003069,4.707596500506716,4.662610946105119,1.347576862949453,6.786045150705074
9,excel,2,4,3.73,0.225,0.9250000000000005,0.3084940072954664,0.681257599444155,0.3371158813135439,-0.17288419079529574,-0.029019532360179734,6.780361582127265,4.938358968970086,0.9897516067396214,5.035226348371098
